name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Complete React Web Application Development Bootcamp,Full Stack React application development course with real world projects,Eldor Togaymurotov,4.8,2,7 total hours,38,Beginner,149000,-
Learn Sass from Beginner to Advanced,No more cluttered CSS! Realize clean designs lightning-fast and without frustration using Sass.,M.S. Af,4.8,4,2.5 total hours,20,Beginner,149000,New
JavaScript Shopping Cart Tutorial,Learn how to create a Shopping Cart with a Vanilla JavaScript,Telmo Sampaio,4.8,14,2.5 total hours,8,Intermediate,149000,-
Learn to Build Websites using Twitter Bootstrap,A complete guide to master Twitter Bootstrap,"Eduonix Learning Solutions, Eduonix-Tech .",4.8,733,2.5 total hours,13,All Levels,149000,-
Multi-language PHP: internationalisation for PHP developers,Learn how to easily adapt your PHP website or web application to offer multiple languages to its visitors,Dave Hollingworth,4.8,37,3 total hours,58,All Levels,149000,Highest rated
Web Design With HTML CSS and SASS - Beginner To Advanced,"Learn web design & web development from scratch using HTML, CSS & Sass. We cover CSS Animation, Grid, FlexBox and Git.",Ewomazino Akpareva,4.8,31,18.5 total hours,154,All Levels,149000,-
MERN React Node MongoDB CRUD with Smart Login for Beginners,Build your own Node API with MongoDB to communicate with your React App for performing CRUD operations with Login System,Ryan Dhungel,4.8,76,6 total hours,48,All Levels,149000,-
The Complete JavaScript Developer in 2020,Learn the essential skills to level-up from beginner to advanced JavaScript developer in 2020!,Reed Barger,4.8,59,5 total hours,29,All Levels,149000,-
Build A Flashcard Website With Python and Django,Learn Python Driven Web Development With Django and Python!,John Elder,4.8,80,3 total hours,39,Beginner,149000,-
Create Websites with HTML & CSS for Beginners,Learn Web Development by Building Websites with HTML5 and CSS3 from Scratch!,Srinivas Vanamala,4.8,384,8.5 total hours,117,Beginner,149000,-
20 Web Projects With Vanilla JavaScript,"Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)",Brad Traversy,4.8,5032,16 total hours,121,All Levels,149000,-
Svelte with Test Driven Development,"Learn Svelte by applying test driven development (using jest, testing-library/svelte)",Basar Buyukkahraman,4.8,7,15 total hours,75,All Levels,149000,-
Set up a localhost Web Server for Faster Website Development,Install and configure a web development environment on your computer. Code faster and when offline. Install WordPress.,Dave Hollingworth,4.8,83,1.5 total hours,31,All Levels,149000,Highest rated
React JS + Angular + Rails 5 Bootcamp,Learn how to build a real world React JS and Angular apps that utilize Ruby on Rails for a backend API.,Jordan Hudgens,4.8,740,13.5 total hours,80,Intermediate,149000,-
WordPress for Beginners 2016-Perfect for authors & bloggers,Learn WordPress with specific examples that are meaningful for your needs!,Barb Drozdowich,4.8,10,7 total hours,77,Beginner,149000,-
Materialize CSS From Scratch With 5 Projects,Master HTML 5 & the Materialize CSS framework by building 5 real world responsive material design based themes,Brad Traversy,4.8,1649,10.5 total hours,63,All Levels,149000,Bestseller
Markdown Fundamentals,Learn the basics of Markdown,8Cube Digital,4.8,53,1 total hour,9,All Levels,149000,Highest rated
CSS for Everybody: From beginner to boss,Learn CSS from the ground up. Absolutely no experience required. This course will take you all the way to expert level.,Kalob Taulien,4.8,8,4.5 total hours,76,All Levels,149000,-
CSS Master Course: For Beginners,Create stunning layouts using CSS3,Jesse Caine,4.8,47,17 total hours,118,Beginner,149000,-
The Complete Guide to the Best 200 WordPress Plugins,Learn how to use a wide variety of amazing plugins to improve the design and functionality of your WordPress website.,Alexander Oni,4.8,69,18 total hours,194,All Levels,149000,-
Svelte.js - The Complete Guide (incl. Sapper.js),Build high-performance web applications with SvelteJS - a lightweight JavaScript compiler,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.8,2158,13 total hours,196,All Levels,149000,Bestseller
Introduction to HTML Complete Beginner to Expert Course,Learn how to code in HTML from scratch. Perfect for beginners and anyone who wants to learn HTML,Laurence Svekis,4.8,212,3.5 total hours,61,Beginner,159000,-
"Modern JavaScript (Complete guide, from Novice to Ninja)",Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.,The Net Ninja (Shaun Pelling),4.8,7198,19 total hours,173,All Levels,229000,-
Build 20 Hands On Projects in React and Javascript,Learn React JS and JavaScript by doing same projects with hands on experience,K.Sathyaprakash Reddy,4.8,16,9 total hours,65,Beginner,149000,-
WordPress Theme Development from Scratch,"Learn WordPress theme development from scratch using HTML, CSS, PHP, Bootstrap and several native WordPress APIs.",Marcelo Xavier Vieira,4.8,563,10 total hours,74,Intermediate,149000,Bestseller
Web Building Starter Pack. Html Css and JQuery Animations,New generation of web building courses.,"Ersen Kiremitci, 40 Academy",4.8,36,7.5 total hours,42,All Levels,149000,-
"Create a Simple Photo Gallery with Dropzonejs, Slick and PHP",Learn Multi-file Upload With Admin Panel and Database Interactivity From Scratch.,"Terry Ogbemudia Osayawe, Frahaan Hussain",4.8,49,1.5 total hours,17,All Levels,149000,-
JAMStack: The Complete Guide,"Learn the JAMStack from start to finish. Create dynamic serverless architectures using JavaScript, APIs & Markup.",Ray Viljoen,4.8,184,4.5 total hours,29,All Levels,149000,-
React For The Rest Of Us,"Learn React JS to create Single Page Applications (SPA) using modern practices like Context, Reducer, Suspense and more",Brad Schiff,4.8,1449,16 total hours,85,All Levels,149000,-
*NEW* DOM 2021 Build Dynamic Websites with JavaScript Part 1,Understand DOM (Document Object Model). Crucial for front end web development. Novice to Pro in easy steps.Course 1 of 2,Clyde Matthew,4.8,455,5.5 total hours,105,All Levels,149000,-
Next.js Dev to Deployment,Learn Next.js by building a music event website,Brad Traversy,4.8,784,10 total hours,79,All Levels,149000,-
"The Complete React Bootcamp 2021 (w/ React Hooks, Firebase)","Become an advanced ReactJS developer, build and deploy three production-ready apps with React, React Hooks, and NodeJS.","Arash Ahadzadeh, Andrew Hulenko",4.8,55,17 total hours,172,All Levels,149000,-
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",Step-by-step guide on how to develop a complete E-Commerce website with both front-end and back-end,Le Deng,4.8,730,20 total hours,83,All Levels,149000,Highest rated
Master Bootstrap 4 (4.6.0) and code 7 projects with 25 pages,"Master the latest version of Bootstrap 4 and create real projects and themes while learning HTML, web design and coding",Jeppe Schaumburg Jensen,4.8,258,22.5 total hours,208,All Levels,149000,-
Python 3 for Beginners - Learn to Code in Python,"Python Coding with a Focus on Software Engineering. Don't Just Code, Become an Engineer!",Grant Klimaytys,4.8,6,6 total hours,55,Beginner,149000,-
Pubnub - Javascript Realtime Maps Geolocation Tracking,"Pubnub Realtime Maps for Beginners with Javascript, Google Maps API and Pubsub Capability",Larry Harris,4.8,10,1 total hour,12,Beginner,149000,-
PHP - A 3-Step Process to Master PHP for Newbies + Templates,Learn PHP 7 like a Professional! Start from the basics and go all the way to creating your own interactive PHP web apps!,"Dr. Chris Mall • 25,000+ Students Worldwide",4.8,11,3.5 total hours,21,All Levels,149000,-
React styled components v5 (2021 edition),Ditch CSS stylesheets! Learn CSS in JS to quickly and cleanly style React components with the styled components library,Tom Phillips,4.8,682,2 total hours,29,All Levels,149000,-
JavaScript with Hands-on Examples,"Learn JavaScript libraries such as React, Angular, Node with JavaScript and access these technologies with Javascript.","Oak Academy, Muhammet Gokturk",4.8,11,14 total hours,122,All Levels,149000,-
JavaScript Word Scramble Game from scratch course,Practice exercise to apply JavaScript building a fun interactive game application from scratch,Laurence Svekis,4.8,10,1 total hour,20,All Levels,149000,-
Laravel - Creating Custom Commands & Scheduling Tasks,Learn to Automate Your Laravel Apps with Cron JOBS and Custom Scripts,Edwin Diaz,4.8,45,1 total hour,11,All Levels,149000,-
Ultimate AngularJS: Build a Real-World App from Scratch,"Build a Single Page App with AngularJS, Angular Material, UI Router, and Firebase. Includes Angular 2 preview!","Ryan Chenkie, Code College",4.8,758,5.5 total hours,49,All Levels,149000,-
Docker & Kubernetes: The Practical Guide,"Learn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.8,5037,23.5 total hours,259,All Levels,149000,Bestseller
Next.js by Example,"Develop static websites and hybrid (static+SSR) web apps with React and Next.js 11, including Tailwind CSS, React Query",Mirko Nasato,4.8,11,8.5 total hours,96,Intermediate,149000,New
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",Learn modern web design and code responsive websites from scratch using HTML5 and CSS3. Develop and code a huge project.,Filip Kordanovski,4.8,622,7 total hours,55,All Levels,149000,-
Stripe Masterclass With React.js & Node.js,"Build a real world fully functional e-commerce site with React, Hooks, Context API, Node.js, Express.js and Firebase",Abdi Ahmed,4.8,44,9 total hours,95,Intermediate,149000,Bestseller
Blazor and Python Django Full Stack Web Development,learn to create a full stack web application from scratch using Python Django and Blazor.,Vinay Kumar,4.8,5,8.5 total hours,25,Intermediate,149000,New
Creating Interactive HTML5 Video,Make your video come to life by adding interactive HTML5 videos over your videos.,Jeff Batt,4.8,111,2 total hours,24,Intermediate,149000,-
The Modern JavaScript Bootcamp,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",Andrew Mead,4.8,11431,29.5 total hours,155,All Levels,149000,-
JavaScript Data Binding,"Learn how to create your own two-way data binding system in one hour, just like the JavaScript framework: Angular JS.",Stan Georgian,4.8,13,1.5 total hours,20,Intermediate,149000,-
Zero to Pro Web Developer Bootcamp - Get Hired in 2021!,Go from no Web Developer experience to creating and deploying a React JS web application. Become a Web Developer today!,Steve Richardson,4.8,10,14 total hours,141,Beginner,149000,New
"Vue & Django Full Stack: web app, backend API","Vue single page web app, Django 2 REST API with Python 3",Krystian Czekalski,4.8,62,12.5 total hours,87,Beginner,149000,-
The Complete Course: 2020 JavaScript Essentials From Scratch,"Novice to Ninja: Learn to Master JavaScript in this full course. Includes JavaScript projects, live code, an exam & ES6","Kalob Taulien, Kalob.io — Learn web development from scratch",4.8,323,7.5 total hours,53,All Levels,149000,-
Hands-On jQuery: jQuery Examples,Practice jQuery with unique jQuery Examples! Useful jQuery Programs that illustrate Various jQuery Concepts!,Crypters Infotech,4.8,24,3.5 total hours,25,All Levels,149000,-
"Create a Social Media, Community Website in WordPress","Learn to create a professional social media , community website using Premium Plugins and themes provided for free",Sridhar Iyer,4.8,39,3 total hours,22,All Levels,149000,-
"Vue 3, Nuxt.js and Django: A Rapid Guide - Advanced","VueJS with Typescript, Nuxt.js, Vuetify, Composition API, DRF 3.1, Docker, Redis, Stripe, Frontend & Backend Filtering",Antonio Papa,4.8,10,8 total hours,85,Intermediate,149000,-
Your First Website - understand web development,Creating your first own website and learning the basics of HTML and CSS,"CoolMentors IT, Damian Dapit",4.8,6,5 total hours,18,Beginner,149000,-
Node Js MongoDb Vs Php Mysql :Build The Same Web Application,"Learn Node Js,Php ,Mysql ,MongoDb To Make A Web Application For Cars And An Administration System For The Admin",Mohamed Jolti,4.8,11,10 total hours,66,All Levels,149000,-
"PHP for Beginners 2021 Part 2: PDO, MySQL, phpMyAdmin","Every line of code explained. Learn PHP, PDO, MySQL & phpMyAdmin to create data driven websites. Award winning teacher.",Patrick Morrow,4.8,261,3 total hours,30,Beginner,149000,-
Build a REST API with Python and Django REST Framework,Learn how to build a complete REST API from scratch using the Django REST Framework,Matt Stanford,4.8,3,1.5 total hours,20,Beginner,149000,-
Create a document search system in Laravel,A document upload and search engine in Laravel.,Penguin Digital,4.8,17,2 total hours,16,Intermediate,149000,-
React and Deno: A Practical Guide,"Deno APIs, React Hooks, Typescript, Redux, MySQL, OOP, Upload Images, Export CSV",Antonio Papa,4.8,4,8 total hours,74,All Levels,149000,-
A Complete Guide to the JAMstack and React E-Commerce [2021],"Master next-generation full stack architecture: best speed, security, and scalability with React, Gatsby, and Strapi.",Zachary Reece,4.8,48,79 total hours,483,All Levels,149000,Bestseller
Login and Registration from Scratch with PHP and MySQL,"Create a PHP login system including user sign-up, login, ""remember me"", password reset and user administration.",Dave Hollingworth,4.8,171,2 total hours,36,Intermediate,149000,-
Ruby on Rails Crash Course: Authentication and Authorization,Code-Along and learn to build a Web App MVP covering all aspects of Authentication and Authorization functionality.,Yaroslav Shmarov,4.8,11,6.5 total hours,55,All Levels,149000,-
Build Web Apps with Vue JS 3 & Firebase,Learn Vue JS 3 & Firebase by creating & deploying dynamic web apps (including Authentication).,The Net Ninja (Shaun Pelling),4.8,5285,30 total hours,297,All Levels,149000,Highest rated
C# Interview Questions with Answers,C# Interview Questions and Answers tutorial,Shivprasad Koirala,4.8,52,2.5 total hours,8,Beginner,149000,-
How To Install Ruby On Rails On Windows,Learn To Install Rails on a Windows Computer the Right Way And Push Your Code To Heroku For Professional Web Hosting!,John Elder,4.8,32,1.5 total hours,23,Beginner,149000,-
Angular Front To Back,Master Angular 5 from the basics to building an advanced application with Firebase's Firestore as well as authentication,Brad Traversy,4.8,6208,11.5 total hours,73,All Levels,149000,-
NodeJS Tutorial and Projects Course,NodeJS Tutorial and Projects Course,John Smilga,4.8,119,20.5 total hours,238,All Levels,149000,-
"Jekyll: make fast, secure static sites and blogs with Jekyll","Do you want a clean, simple, fast and secure site or a blog and host it free on Github? Jekyll is the best way to go.",Jana Bergant,4.8,349,2.5 total hours,31,Beginner,149000,Bestseller
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",Jonas Schmedtmann,4.8,31956,28 total hours,126,Intermediate,149000,Bestseller
Angular 2 Fundamentals for Web Developers,Learn to build the next generation web apps using the latest Angular upgrade,"Eduonix Learning Solutions, Eduonix-Tech .",4.8,75,6 total hours,42,All Levels,149000,-
Test-Driven Development with React,Learn Test-Driven development to build more reliable and maintainable apps.,Irek Mirgaleev,4.8,33,1 total hour,24,Intermediate,149000,-
The Complete Wordpress & e-commerce Course ( Project Based ),The complete Project based Guide to learn Wordpress and to Make your e-commerce website - The project is already hosted,HN Academy,4.8,21,2 total hours,48,Beginner,149000,-
GDPR Simplified: The Basics,Part 1 : Introduction to EU GDPR for Beginners,"Ness M, Security Architect",4.8,18,1 total hour,21,Beginner,149000,Highest rated
Drupal Fast Start: Learn Drupal in Less Than 2 Hours!,Watch my step-by-step Drupal tutorials and learn how to build your Drupal site from scratch!,Charles Amith,4.8,26,3 total hours,22,All Levels,149000,Highest rated
Master Angular Fundamentals by Building a Real App,Fast-paced and super practical Angular course.,Irek Mirgaleev,4.8,27,1 total hour,28,Intermediate,149000,-
"Master Vuejs from scratch (incl Vuex, Vue Router)",Learn and master one of the most popular frontend frameworks by building awesome projects,Kati Frantz,4.8,310,5 total hours,60,All Levels,149000,-
#1 Complete NodeJs Express Single-Page App [The FUTURE],Turn Nodejs Express mongodb javascript App Into Single Page Application [WITHIN 2 MINUTE] Using toufiqElahySPA.js Plugin,Toufiq Elahy,4.8,25,2 total hours,16,All Levels,149000,-
The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,Stephen Grider,4.8,12346,13 total hours,136,All Levels,149000,Highest rated
AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.8,10603,8 total hours,142,All Levels,149000,Bestseller
"React practice course, learn by practicing ( 2021 edition )","Including three full practice project, a landing page, a Firebase project and a fullstack with Mongo DB and Node.",Coding Revolution,4.8,817,82 total hours,362,All Levels,149000,-
Advanced C# Concepts,Covers all topics mentioned in description with examples In-depth course on C# Advanced concepts,Sandeep Soni,4.8,101,50.5 total hours,98,Beginner,159000,-
ASP.NET MVC Interview Questions with Answers,ASP.NET MVC Interview Questions with Answers,Shivprasad Koirala,4.8,18,2 total hours,6,All Levels,149000,Highest rated
Top Javascript and PHP Programming Bundle,Learn Javascript and PHP The Fast and Easy Way!,John Elder,4.8,47,8 total hours,80,Beginner,149000,-
Getting Started with Google Assistant Development,Google Assistant development with Java & Spring Boot & Actions on Google & DialogFlow & Beginners in Voice Automation,Alexandru Rosu,4.8,32,3 total hours,38,All Levels,149000,Highest rated
Laravel 8.X and 7.X from beginners to master.,Build An E-commerce Website By using Stripe and PayPal Api for payment. Learn PHP Framework from A to Z.,Héritier N'kele N'kele,4.8,75,19 total hours,113,Beginner,149000,-
Build awesome web apps using Angular,Learn Angular from scratch. Your confidence level rises from 0 to 80% just in 5 hours.,Vinod Kumar Kayartaya,4.8,147,5.5 total hours,39,All Levels,149000,-
Next.js & React - The Complete Guide (incl. Two Paths!),"Learn NextJS from the ground up and build production-ready, fullstack ReactJS apps with the NextJS framework!","Maximilian Schwarzmüller, Academind by Maximilian Schwarzmüller",4.8,2694,25 total hours,270,All Levels,149000,Bestseller
The Ultimate WordPress Quiz for Beginners and Advanced Users,Challenge yourself and get ready to prove your WordPress Skills by taking this practice test quiz course,"Srinidhi Ranganathan, First Look Digital Marketing Solutions Pvt. Ltd., Saranya Srinidhi",4.8,35,-,-,Intermediate,149000,-
Wordpress Theme Development with Twig and Timber,Easily learn to create themes in HTML style. Clean and readable code with modern approach. Even without PHP knowledge.,Tomek Lecki,4.8,51,10.5 total hours,59,Beginner,149000,-
Getting Started with React Hooks,"Master React Hooks, the next evolution of the popular React library for building dynamic front end interfaces",Boris Paskhaver,4.8,351,3.5 total hours,26,All Levels,149000,-
"Quasar V1: PWA (with Vue JS 2, Firebase, NodeJS & Express)","Create a Beautiful Instagram-Style Progressive Web App with Vue 2, Quasar V1, Firebase, NodeJS & Express",Danny Connell,4.8,466,15 total hours,237,All Levels,149000,Highest rated
Alpine JS Vs. 3 For Beginners. Learn the new alpine.js v3!,With alpinejs you use cool JavaScript features the easy way! I show you how that works!,Martin Eberth,4.8,24,5.5 total hours,31,All Levels,149000,Bestseller
Microfrontends with React: A Complete Developer's Guide,Build incredibly scalable apps with a microfrontend architecture,Stephen Grider,4.8,2048,9 total hours,117,All Levels,149000,Bestseller
Learn the React hooks by example,"A complete overview of the hooks with useState, useEffect, useCallback, useMemo, useRef, useReducer and useContexte",Sandra L,4.8,5,5 total hours,34,Beginner,149000,-
Angular Router In Depth,Build large-scale Angular 12 Single Page Applications (SPAs) with the powerful Angular Router,Angular University,4.8,272,5 total hours,35,All Levels,149000,-
Create a Netflix clone from Scratch: JavaScript PHP + MySQL,"Learn JavaScript, PHP and MySQL by making the ultimate Netflix clone website completely from scratch!",Reece Kenney,4.8,583,11.5 total hours,141,All Levels,149000,-
"Simple Javascript: Learn by Doing, Beginners Welcome!",Learn Javascript by applying it right away. Experience is the most effective way of learning.,Elijah Windsor,4.8,13,2 total hours,18,All Levels,149000,-
Laravel Multi User Blogging Platform with SEO (2 projects),"Learn, understand and master Laravel PHP Framework. Build Multi User Blogging Platform by the end of this course.",Ryan Dhungel,4.8,282,23.5 total hours,232,All Levels,149000,-
Create HTML Email from DOC template JSON endpoint Sheet data,Create a web app that outputs Google Sheet Data as JSON - Email a Google Doc as HTML code - Google Doc as HTML with Code,Laurence Svekis,4.8,3,1 total hour,18,All Levels,149000,-
CSS,Cascading Style Sheets (CSS) is a great way to further your web site building skills.,Learnit Anytime,4.8,10,1.5 total hours,31,Intermediate,149000,-
CSS Hacking - 12 Innovative Challenges SOLVED,Beat your score in cssbattle.dev . Learn how to use CSS in ways you haven't used before. Innovate and hack your CSS,Tudor Todorescu,4.8,7,1 total hour,14,All Levels,149000,-
Learn PHP To Create Basic Student Roll Attendance System,"In This Course You Will Learn How To Create Simple Student Attendance System Using PHP, MySQLi, Bootstrap From Scratch",Kazi Ariyan,4.7,27,3 total hours,22,Intermediate,149000,-
"Learn HTML,CSS,JAVASCRIPT","Learn HTML, CSS and JS in a better way",Priyanka Das,4.7,218,3.5 total hours,54,Beginner,149000,-
Microservices with Node JS and React,"Build, deploy, and scale an E-Commerce app using Microservices built with Node, React, Docker and Kubernetes",Stephen Grider,4.7,8135,54.5 total hours,638,All Levels,149000,Bestseller
Build a Crypto Currency News Site With Python and Django,Pull Crypto News From An API and Build A Website With Django and Python!,John Elder,4.7,305,1.5 total hours,28,Beginner,149000,-
Full Stack Web Development Bootcamp with React and Python,"Practical full stack web development bootcamp: JavaScript, React, Python, Flask, API, Git and VS Code",Bogdan Stashchuk,4.7,74,23 total hours,175,All Levels,149000,-
The beginners guide to coding,Break into web development with this 100% beginner friendly course. Absolutely NO experience is required.,Kalob Taulien,4.7,68,3.5 total hours,66,Beginner,149000,-
Jitsi Meet API - Integrate with PHP CodeIgniter Quickly 2021,This is the only course on this platform where jitsi video conference API is fully integrated to the school management,Olawuyi Segun Orisunola,4.7,34,3.5 total hours,38,All Levels,149000,Highest rated
Complete Website Design Bootcamp! Front-End Web Development,Learn web development from scratch! Master responsive front-end web development by building a complete awesome website,"Emenwa Global, Zoolord Academy",4.7,51,18.5 total hours,111,All Levels,149000,-
"React Certification for IT Freshers (with HTML5, CSS3, Js)","Only course you need to take, to learn everything you need to become a Professional react web developer and get a Job!",Amaresh Chinnakotla,4.7,17,20 total hours,157,All Levels,149000,-
HTML Learn It From Scratch Course,"All that you need to learn about HTML, explained with examples, pure HTML without overwhelming with other technologies!",MasterMinds Tutorials,4.7,134,8 total hours,24,Beginner,149000,-
Hands-On Application Development with React and Bootstrap,Fast frontend development with React and Bootstrap; build fluid reactive and responsive websites,Packt Publishing,4.7,49,7 total hours,57,Beginner,149000,-
HTML and CSS: A Guide to Web Design,"Learn how to create an attractive and functional responsive website, without overly complicated terms and ideas.",James Rogers,4.7,19,14 total hours,74,All Levels,149000,-
Essential Gems for Your Rails Projects,"Build a Rails application from scratch, with 10 key RubyGems required for every project.",Ernest Addae,4.7,19,16 total hours,98,Beginner,149000,-
JavaScript Dynamic Web Pages AJAX 30 Projects APIs JSON,JavaScript projects explore JavaScript to connect to APIs retrieve JSON data with AJAX use it within your web page,Laurence Svekis,4.7,20,22 total hours,109,Intermediate,149000,Highest rated
Level Up Your CSS Animation Skills,A practical guide to creating amazing CSS animation on the web,Donovan Hutchinson,4.7,399,3.5 total hours,32,All Levels,149000,-
The Complete Solidity Course - Blockchain - Zero to Expert,Master Solidity and Smart Contracts - Blockchain Development: 2021 - Programming & Ethereum - Code Along - DApplications,"Clarian North, TJ Walker",4.7,21,16.5 total hours,186,All Levels,149000,Hot & new
Apache Airflow: The Operators Guide,Step up with Apache Airflow! Master Airflow Operators and create incredible data pipelines!,Marc Lamberti,4.7,15,7.5 total hours,56,All Levels,149000,Hot & new
"Learn HTML, CSS and Bootstrap: 3 Courses in 1",Learn HTML & CSS Basics and Create Complete Websites using Bootstrap,Ahmed Magdy,4.7,19,2.5 total hours,39,Beginner,149000,-
Git & GitHub - The Practical Guide,"Learn Git & GitHub and master working with commits, branches, the stash, cherry picking, rebasing, pull requests & more!","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz",4.7,109,10.5 total hours,127,All Levels,149000,Hot & new
Web APIs JavaScript Fetch getting JSON data Fun with APIs,Explore how to connect to various web APIs using JavaScript fetch. Use the returned data JSON data within you Code.,Laurence Svekis,4.7,57,3 total hours,45,All Levels,149000,-
React node contact form with nodemailer,"Learm how to create a full stack dynamic contact form with react.js, node.js, express and nodemailer!",Odysseas kolas,4.7,2,5 total hours,25,Intermediate,149000,-
RxJS 7 and Observables: Introduction,Learn how Observables work and behave in an easy to understand step-by-step way!,Jurek Wozniak,4.7,137,5.5 total hours,69,All Levels,149000,Bestseller
HTML5 Canvas Projects,Learn HTML5 Canvas by Doing,"ITPro TV, Justin Dennison",4.7,5,15.5 total hours,38,Intermediate,149000,-
Essential Web Developer and SQL Skills For Beginners,Learn Practical Skills Used By Professionals,Bluelime Learning Solutions,4.7,46,17 total hours,161,Beginner,149000,-
React and Laravel Authentication: Forgot and Reset Password,"Learn PHP 8, Laravel 8, React Hooks, Laravel Sanctum, Send Emails with Mailhog, Typescript",Antonio Papa,4.7,28,2 total hours,29,Beginner,149000,-
How to create a block for Moodle using PHP,"Step by step, detailed instructions taking you through the complete process from zero code to functioning block.",Chris Richter,4.7,2,1.5 total hours,15,Intermediate,149000,-
Working with React and Go (Golang),"Learn how to build a single page application in React, with data supplied by a Go back end REST API",Trevor Sawler,4.7,103,12 total hours,116,Intermediate,149000,-
HTML and CSS for beginners,Follow these step-by-step tutorials to master HTML and CSS.,Ernest Jones,4.7,67,7.5 total hours,114,Beginner,149000,-
PHP Essential How to create build Amazing websites with PHP,Learn the foundations and features of why PHP code is so popular through this series of clear easy to follow lessons,Laurence Svekis,4.7,94,3.5 total hours,44,Beginner,149000,-
Advanced Shopify Theme Development: Liquid + Vue.js (v3.0),"Learn to build Shopify themes using Liquid, JavaScript, and Vue.js v3.0 from scratch. No experience required!",Working With Shopify,4.7,19,6.5 total hours,33,Intermediate,149000,-
Object Oriented PHP & MVC,Build a custom object oriented PHP MVC framework and then build an application with it,Brad Traversy,4.7,3899,6.5 total hours,44,Intermediate,149000,-
"Image Slider in HTML5, CSS3, JQuery 2021","In 2021 Learn how to create an awesome image slider in HTML5, CSS3 and JQUERY","Usman Raoof, Fahad Chaudhry",4.7,14,3 total hours,22,All Levels,149000,-
JavaScript Master Class - Build your own React from scratch,Take your existing JavaScript Knowledge to the next level by coding your own React/ReactJS like library from scratch,Rajesh Pillai,4.7,48,7.5 total hours,55,Intermediate,149000,-
ASP.NET Core 3.1 - Build Hands-On Web Projects,"Learn the Concepts and Create Real Life Razor Pages, Web API and MVC CRUD Applications Using ASP.NET Core 3.1",Kaushik Roy Chowdhury,4.7,8,11.5 total hours,77,All Levels,149000,-
Object Orientation in PHP,"Fully understand object oriented analysis, design and programming from the ground up.",Lawrence Turton,4.7,259,5 total hours,30,Beginner,149000,-
Salesforce Development Master Training for Beginners,Learn Salesforce Development from scratch and become the Master of Salesforce Development with Shrey Sharma,Shrey Sharma,4.7,3,22 total hours,154,Beginner,149000,-
Spring Boot E-Commerce Ultimate Course,"Learn to Build a Real-life Shopping Webapp using Java Spring Boot, Thymeleaf, Bootstrap, jQuery and HTML",Nam Ha Minh,4.7,287,67.5 total hours,241,All Levels,149000,-
"AWS & Typescript Masterclass - CDK, Serverless, React","Code with AWS and Typescript by creating serverless projects with CDK, CloudFormation, Cognito, Lambda and AWS Amplify",Alex Horea,4.7,34,12.5 total hours,124,Intermediate,149000,Highest rated
The Divi WordPress Theme for Beginners,"Let's build a beautiful, responsive website together - without coding!",David Sharkey,4.7,374,4 total hours,33,All Levels,149000,Highest rated
"Node.js, Express, MongoDB & More: The Complete Bootcamp 2021","Master Node by building a real-world RESTful API and web app (with authentication, Node.js security, payments & more)",Jonas Schmedtmann,4.7,8269,42 total hours,228,All Levels,349000,-
Enterprise OAuth 2.0 and OpenID Connect for Developers,Master OAuth2/OpenID Connect with Okta/Google Authorization Server and Postman. 3 Java/Angular projects (Optional),Viraj Shetty,4.7,280,9.5 total hours,74,Intermediate,149000,-
Learn Web Scraping with NodeJs in 2021 - The Crash Course,"Learn and be great at Web Scraping with NodeJs and tools like: Puppeteer by Google, Request, Cheerio, NightmareJs.",Grohs Fabian,4.7,426,7 total hours,50,Beginner,149000,-
Make Your Own Custom Block in Moodle,Your first step in Moodle and PHP development,Brian Kremer,4.7,72,2 total hours,18,Beginner,149000,Highest rated
Create An Affiliate Marketing Website With WordPress | 2020,Create an affiliate marketing website and start earning commissions online!,Darrel Wilson,4.7,6,3 total hours,22,Beginner,149000,-
Become a WordPress Developer: Unlocking Power With Code,"Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",Brad Schiff,4.7,15646,35.5 total hours,161,All Levels,149000,Bestseller
The Complete Nodejs MySQL Login System,Learn how to work with Nodejs and MySQL together,Telmo Sampaio,4.7,41,3.5 total hours,11,Intermediate,149000,-
